Questions,Answers,keywords
Anong epekto ng baha sa palay?,"Para mas maging epektibo, pagkabasag ng mga tangkay ng palay
pagbaba ng kalidad ng ani dahil sa pagkabasa ng mga butil
pagdami ng mga sakit tulad ng sheath blight o brown spot
pagkamatay ng mga tanim kung matagal ang pagbaha Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['anong', 'epekto', 'baha', 'palay']"
Paano linisin ang palayan bago magtanim?,"Kung gusto mong mas makasiguro, tanggalin ang mga damo sa pamamagitan ng mechanical weeder o manual na pag-alis
magiging madali ang paghahanda kung may tamang drainage system upang hindi magtubig ang palayan
i-level ang lupa at alisin ang mga natirang halaman o debris
maglagay ng organic matter tulad ng compost para mas maging fertile ang lupa Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['linisin', 'palayan', 'magtanim']"
Puwede bang magtanim ng palay ng dalawang beses sa isang taon?,"Tandaan na oo, puwede. sa mga lugar na may tamang irigasyon at maayos na klima, maaari magtanim ng palay dalawang beses sa isang taon (kadalasan tag-init at tag-ulan). sa ganitong paraan, mas mataas ang pagkakataon ng magandang ani, basta't may sapat na oras ng pahinga ang lupa at tamang pangangalaga sa mga pananim. Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['puwede', 'bang', 'magtanim', 'palay', 'dalawang', 'beses', 'taon']"
Paano protektahan ang palay laban sa mga insekto?,"Kung gusto mong mas makasiguro, gamitin ang integrated pest management (ipm) na kombinasyon ng natural na paraan (predator insects) at tamang pag-spray ng pesticide.
magtanim ng resistant varieties ng palay
gumamit ng organic pesticide tulad ng neem oil
magtanim ng tamang distansya para hindi magsiksikan at madaling dumaan ang hangin
regular na surveillance upang maagapan ang mga peste sa kanilang early stages. Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['protektahan', 'palay', 'insekto']"
Paano gamitin ang compost mula sa dayami ng palay?,"Mahalaga na gilingin ang dayami at gawing compost sa pamamagitan ng paghahalo ng iba pang mga organic matter tulad ng manure at kitchen waste
i-apply ang compost sa lupa bago magtanim ng palay upang mapabuti ang kalidad ng lupa
maglagay ng compost sa mga tagiliran ng palayan para matulungan ang mga ugat ng palay na mag-absorb ng nutrients. Para mas maging epektibo, sumangguni rin sa technician o extension worker kung may alinlangan.","['gamitin', 'compost', 'dayami', 'palay']"
Saan makakakuha ng libreng binhi ng palay?,"Mas mainam kung philrice (philippine rice research institute) â€“ nag-aalok ng mga libreng binhi sa mga proyekto o programa
lgus (local government units) â€“ maaaring magbigay ng libreng binhi sa mga magsasaka sa mga proyekto o assistance program
mga agricultural cooperatives o farmersâ€™ associations â€“ karaniwang may mga programang nagbibigay ng libreng binhi. Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['makakakuha', 'libreng', 'binhi', 'palay']"
Paano gumamit ng organic fertilizer sa palay?,"Isang mabisang paraan ay ang mag-apply ng organic fertilizer tulad ng compost o animal manure sa simula ng pagtatanim
gumamit ng liquid organic fertilizer para magbigay ng dagdag nutrisyon sa mga halaman
i-mulch ang palayan gamit ang dayami para mapanatili ang moisture at maiwasan ang pagkatuyo ng lupa. Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['gumamit', 'organic', 'fertilizer', 'palay']"
Anong buwan kadalasang may peste?,"Isang mabisang paraan ay ang kadalasang dumadami ang mga peste sa panahon ng tag-ulan (june to october), dahil dito tumutubo ang damo at iba pang host plants ng mga peste.
tingnan ang mga tagsibol at early summer months (march-may), dahil dito ay magsisimula ang aktibidad ng ilang mga peste tulad ng rice thrips at leafhoppers. Para mas maging epektibo, sumangguni rin sa technician o extension worker kung may alinlangan.","['anong', 'buwan', 'kadalasang', 'peste']"
Ano ang epekto ng tagtuyot sa palay?,"Karaniwang ginagawa ng mga magsasaka ang mabagal na paglaki ng palay
pagkamatay ng mga uhay o hindi magandang pagkakaroon ng butil
pagka-damage sa root system, kayaâ€™t mahirap mag-absorb ng nutrients at tubig
mababang ani at kawalan ng sustansya sa mga butil. Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'tagtuyot', 'palay']"
Ano ang palatandaan ng may sakit na palay?,"Karaniwang ginagawa ng mga magsasaka ang pamumuti ng mga dahon o mga batik
pagkakaroon ng mga ulser o spots sa mga dahon at tangkay
pagkamatay ng mga batang tanim
walang paglago at hindi pagpapakita ng bagong dahon
pagbaba ng kalidad ng ani sa oras ng pag-aani. Isang mabisang paraan ay ang sumangguni rin sa technician o extension worker kung may alinlangan.","['palatandaan', 'sakit', 'palay']"
Ano ang lodging sa palay?,"Para mas maging epektibo, lodging ay ang kondisyon kung saan ang mga tangkay ng palay ay natutumba o bumabagsak.
ito ay karaniwang nangyayari kapag ang palay ay masyadong mataas o mahina ang mga tangkay (dahil sa sobrang pataba o sobrang ulan). Kung maaari, sumangguni rin sa technician o extension worker kung may alinlangan.","['lodging', 'palay']"
Paano maiiwasan ang lodging ng palay ,"Isang mabisang paraan ay ang gumamit ng mga varieties na matibay at hindi madaling matumba
iwasan ang sobrang pataba at huwag masyadong magtanim ng siksik
pag-aalaga ng mga tangkay: regular na alagaan ang mga halaman at iwasang magbabad ang mga tangkay sa tubig
tamang pag-spray ng mga growth regulators na magpapa-stronger sa mga tangkay. Mahalaga na sumangguni rin sa technician o extension worker kung may alinlangan.","['maiiwasan', 'lodging', 'palay']"
Ano ang hybrid rice?,"Para mas maging epektibo, ang hybrid rice ay uri ng palay na pinaghalong dalawang magkaibang variety para maging mas malakas, mataas ang ani, at mas matibay sa sakit at peste. mas mataas ang ani nito kumpara sa ordinaryong inbred rice varieties. Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['hybrid', 'rice']"
Ano ang pre-germination ng binhi?,"Puwede mong subukan ang ito ay ang paunang pagpapakulo o pagbabad ng binhi sa tubig (karaniwan 24 oras), tapos ay pinapausbong ito sa loob ng 1-2 araw sa ilalim ng basang sako. ginagawa ito para mas mabilis at sabay-sabay tumubo ang mga binhi. Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['pregermination', 'binhi']"
Paano gawin ang tamang spacing sa tanim?,"Isang mabisang paraan ay ang gamit ang 20 cm x 20 cm na distansya ang pagitan ng bawat tanim para sa transplanting method. nakakatulong ito sa tamang daloy ng hangin, sikat ng araw, at iwas peste at sakit. Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['gawin', 'tamang', 'spacing', 'tanim']"
Paano malaman kung mataas ang kalidad ng palay?,"Karaniwang ginagawa ng mga magsasaka ang pantay-pantay ang laki ng butil
walang halong damo o ibang bagay
walang amoy bulok o amag
hindi kulubot o puti-puti ang mga butil
walang butil na sirang-sira o bubok Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['malaman', 'mataas', 'kalidad', 'palay']"
Ano ang dapat iwasan sa pagbabad ng binhi?,"Kung gusto mong mas makasiguro, huwag lumampas sa 24 oras ang pagbabad
huwag gumamit ng maruming tubig
huwag hayaang masobrahan sa init o lamig ang binhi habang binababad
iwasang kulang sa bentilasyon sa panahon ng pagpapatubo Mahalaga na sumangguni rin sa technician o extension worker kung may alinlangan.","['iwasan', 'pagbabad', 'binhi']"
Ano ang upland rice?,"Tandaan na ang upland rice ay palay na itinatanim sa mga lugar na walang patubig o irigasyon, karaniwang nasa bundok o mataas na lupa. umaasa ito sa ulan at hindi sa palagian o kinokontrol na tubig. Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['upland', 'rice']"
Paano sumali sa kooperatiba ng magsasaka?,"Tandaan na magtungo sa lokal na opisina ng da (department of agriculture) o mismong kooperatiba
magpasa ng application form at requirements (id, residency, etc.)
sumailalim sa orientation o meeting
magbayad ng paunang puhunan o share capital (kung mayroon) Kung maaari, sumangguni rin sa technician o extension worker kung may alinlangan.","['sumali', 'kooperatiba', 'magsasaka']"
Ano ang benepisyo ng pagsali sa kooperatiba ng magsasaka?,"Mahalaga na mas murang abono at binhi
tulong pinansyal at pautang
training at seminar para sa modernong pagsasaka
pagkakaisa sa pagbenta ng produkto kaya mas mataas ang presyo
access sa mga proyekto ng gobyerno Kung gusto mong mas makasiguro, sumangguni rin sa technician o extension worker kung may alinlangan.","['benepisyo', 'pagsali', 'kooperatiba', 'magsasaka']"
May libreng training ba para sa mga magsasaka ng palay?,"Kung maaari, oo, nagbibigay ng libreng training ang philrice, da, at tesda. kasama dito ang pagtuturo ng modernong teknolohiya, pest control, at pagpapataas ng ani. Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['libreng', 'training', 'ba', 'magsasaka', 'palay']"
Ano ang epekto ng malamig na panahon sa palay?,"Puwede mong subukan ang bagal ng pagtubo ng palay
pagkakaroon ng mababang ani
maaaring magkaroon ng abnormal na pamumulaklak
mas madaling kapitan ng sakit ang palay Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'malamig', 'palay']"
Ano ang epekto ng sobrang fertilizer?,"Mahalaga na pagtubo ng labis na dahon pero kaunting butil
lodging o pagbagsak ng mga tangkay
pagka-asin ng lupa
pagdami ng peste at sakit
pagkakaroon ng lason sa lupa at tubig Kung gusto mong mas makasiguro, sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'sobrang', 'fertilizer']"
Paano protektahan ang palay sa sobrang araw?,"Puwede mong subukan ang panatilihing may sapat na tubig sa pilapil para hindi matuyuan ang tanim.
gumamit ng mulching o pagtatakip ng dayami para hindi mabilis matuyo ang lupa.
mag-abono sa tamang oras upang mapalakas ang resistensya ng palay sa init.
pumili ng variety ng palay na kayang tiisin ang init. Para mas maging epektibo, sumangguni rin sa technician o extension worker kung may alinlangan.","['protektahan', 'palay', 'sobrang', 'araw']"
Puwede bang ibenta agad ang bagong aning palay?,"Huwag kalimutang hindi dapat agad ibenta ang bagong ani kung basa pa. dapat itong patuyuin muna hanggang umabot sa 14% na moisture content para hindi agad masira, mamaho o magkaroon ng amag. Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['puwede', 'bang', 'ibenta', 'agad', 'bagong', 'aning', 'palay']"
Ano ang epekto ng hindi pantay na pagdidilig?,"Mas mainam kung nagdudulot ng stress sa palay, maaaring bumaba ang ani.
hindi pantay ang laki ng tanim, kaya mayroong maliit at mahinang butil.
nagiging madaling kapitan ng sakit at peste ang ibang bahagi ng tanim.
 Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'pantay', 'pagdidilig']"
Ano ang dahilan ng hindi sabay na pamumulaklak ng palay?,"Karaniwang ginagawa ng mga magsasaka ang maaaring dahil sa hindi sabay-sabay na pagtubo ng binhi.
hindi pantay na abono o tubig.
iba-ibang uri ng binhi ang naitanim.
may bahagi ng bukid na kulang sa sikat ng araw.
 Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['dahilan', 'sabay', 'pamumulaklak', 'palay']"
Ano ang epekto ng acidic na lupa sa palay?,"Kung gusto mong mas makasiguro, hindi masipsip ng palay ang nutrients mula sa lupa.
nagdudulot ng kakulangan sa zinc, phosphorus, at iba pang mineral.
bumababa ang ani at hindi magandang tubo ng halaman.
maaaring magresulta sa dilaw o kupas na dahon.
 Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'acidic', 'lupa', 'palay']"
Bakit may butas ang dahon ng palay?,"Huwag kalimutang karaniwang sanhi ito ng insekto tulad ng leaf folder, rice bug, o armyworm.
pwede ring epekto ng fungal disease.
kailangang suriin agad at gamutin ng tamang pestisidyo o organic spray. Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['butas', 'dahon', 'palay']"
Bakit hindi sabay-sabay tumutubo ang palay?,"Mahalaga na hindi pantay ang kalidad ng binhi
hindi pareho ang antas ng tubig at abono
may parte ng bukid na mas matigas o mas maputik ang lupa
kulang sa pre-germination o hindi tama ang pagbabad ng binhi Kung gusto mong mas makasiguro, sumangguni rin sa technician o extension worker kung may alinlangan.","['sabaysabay', 'tumutubo', 'palay']"
Ano ang epekto ng late planting ng palay?,"Para mas maging epektibo, nahuhuli sa panahon ng ulan o natatapat sa tagtuyot
mas mataas ang posibilidad ng peste at sakit
nababa ang ani dahil di akma ang panahon sa pamumulaklak at paghinog
nalulugi sa merkado dahil maaaring mababa na ang presyo Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'late', 'planting', 'palay']"
Ano ang biofertilizer at paano ito gamitin sa palay?,"Mas mainam kung ang biofertilizer ay likas na pataba mula sa mga mikrobyo na tumutulong sa tanim para masipsip ang sustansya sa lupa.
inihahalo ito sa binhi bago itanim o sa lupa sa panahon ng taniman.
hindi ito nakakalasong kemikal kaya mas ligtas sa lupa at tao. Para mas maging epektibo, sumangguni rin sa technician o extension worker kung may alinlangan.","['biofertilizer', 'gamitin', 'palay']"
Ano ang patunay ng magandang harvest?,"Tandaan na pantay-pantay at buo ang butil ng palay
mataas ang bigat ng ani kada ektarya
kaunti ang nasirang halaman at walang sobra sa damo
walang gaanong pinsala mula sa peste, sakit, o panahon
ang palay ay walang sobra o kulang sa pagkahinog Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['patunay', 'magandang', 'harvest']"
Paano magbenta ng palay sa tamang presyo?,"Kung gusto mong mas makasiguro, alamin muna ang kasalukuyang presyo ng palay sa inyong lugar o sa nfa (national food authority).
ihambing ang presyo ng mga buyer, tulad ng trader, miller, o kooperatiba.
siguraduhing tuyo at malinis ang ani, may tamang moisture content (hindi basa), para mas mataas ang bentahan.
maaari ring magbenta bilang grupo o kooperatiba para mas malaki ang kita at hindi tinatawaran.
 Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['magbenta', 'palay', 'tamang', 'presyo']"
Paano ma-monitor ang presyo ng palay araw-araw?,"Isang mabisang paraan ay ang  bisitahin ang website ng philrice, da (department of agriculture), o pinoyrice.com para sa updated na presyo.
sumali sa facebook group o viber group ng mga magsasaka sa inyong rehiyon.
makipag-ugnayan sa local municipal agriculture office o nfa. Kung maaari, sumangguni rin sa technician o extension worker kung may alinlangan.","['mamonitor', 'presyo', 'palay', 'arawaraw']"
aano makakatipid sa gastos sa pagtatanim ng palay?,"Para mas maging epektibo, gumamit ng mga binhing mataas ang ani at matibay sa sakit.
magtanim gamit ang tamang distansya para hindi sayang ang binhi at abono.
gumamit ng organic fertilizer o compost mula sa dayami.
magsanay sa integrated pest management (ipm) para iwas gastos sa kemikal.
makipag-ugnayan sa da o philrice para sa libreng training at tulong. Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['aano', 'makakatipid', 'gastos', 'pagtatanim', 'palay']"
Paano alagaan ang palay sa unang buwan ng pagtubo?,"Tandaan na siguraduhing tama ang patubig: hindi sobra, hindi kulang.
tanggalin ang damo para hindi makuha ang sustansya ng lupa.
maglagay ng starter fertilizer tulad ng urea o 14-14-14 kung kailan nararapat.
bantayan ang insekto at sakit. gumamit ng tamang pestisidyo kung kailangan.
suriin ang lupa at tubig kung may sapat na nutrisyon.
 Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['alagaan', 'palay', 'unang', 'buwan', 'pagtubo']"
Ilang kilo ng binhi ang kailangan sa isang ektarya?,"Para mas maging epektibo, para sa transplanting: 40â€“60 kg per hectare.
para sa direct seeding (broadcast): 60â€“80 kg per hectare.
para sa drum seeder o mechanical planter: 30â€“40 kg per hectare. Mahalaga na sumangguni rin sa technician o extension worker kung may alinlangan.","['ilang', 'kilo', 'binhi', 'ektarya']"
Ano ang pinakamagandang paraan ng pag-aani ng palay?,"Karaniwang ginagawa ng mga magsasaka ang gamitin ang combine harvester kung available para mas mabilis, mas malinis, at mas konti ang sayang.
kung mano-mano, siguraduhing tama ang oras ng pag-aani (pag medyo tuyo na ang palay), at maayos ang pagpatuyo at imbakan. Kung maaari, sumangguni rin sa technician o extension worker kung may alinlangan.","['pinakamagandang', 'pagaani', 'palay']"
Paano magsimula ng maliit na palayan kung baguhan pa lang?,"Para mas maging epektibo, magsimula sa maliit na sukat ng lupa para matutunan ang proseso.
kumonsulta sa da o philrice technician para sa gabay.
gumamit ng matibay at recommended na variety ng binhi para sa inyong lugar.
magbasa ng gabay mula sa pinoyrice, o sumali sa mga pagsasanay para sa baguhan.
itala ang gastos at kita para matutunan ang tamang pagba-budget.
 Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['magsimula', 'maliit', 'palayan', 'baguhan', 'lang']"
May tulong ba ang gobyerno para sa maliliit na magsasaka ng palay?,"Para mas maging epektibo, oo. may mga libreng binhi, pataba, training, at pautang mula sa da, philrice, at iba pang ahensya tulad ng acpc at tesda.
sumali sa kooperatiba o magparehistro sa registry system for basic sectors in agriculture (rsbsa) para maka-avail ng ayuda. Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['tulong', 'ba', 'gobyerno', 'maliliit', 'magsasaka', 'palay']"
Paano malalaman kung kailan mag-spray ng pestisidyo?,"Kung gusto mong mas makasiguro, obserbahan ang palay kada araw kung may peste o sintomas ng sakit.
mag-spray lang kapag umabot sa threshold o dami ng peste na pwedeng makasira sa ani.
huwag basta-basta mag-spray â€” gumamit ng tamang chemical at sundin ang recommended timing.
pwede rin gumamit ng organic spray bilang alternatibo. Isang mabisang paraan ay ang sumangguni rin sa technician o extension worker kung may alinlangan.","['malalaman', 'kailan', 'magspray', 'pestisidyo']"
Ano ang mas maganda: mano-mano o makina sa pag-aani?,"Isang mabisang paraan ay ang makina (combine harvester): mabilis, mas kaunti ang sayang, mas magaan sa katawan.
mano-mano: maganda kung maliit lang ang bukid, pero mabagal at mas matrabaho.
mas mainam ang makina kung malaki ang ani at gusto ng mas mabilis na proseso.
 Kung gusto mong mas makasiguro, sumangguni rin sa technician o extension worker kung may alinlangan.","['mas', 'maganda', 'manomano', 'makina', 'pagaani']"
Paano makakaiwas sa pagkalugi sa pagbenta ng palay?,"Mahalaga na tuyuin nang maayos ang ani bago ibenta para hindi tumawad ang buyer.
i-monitor ang presyo at magbenta sa tamang panahon.
magbenta bilang grupo o sa kooperatiba para mas mataas ang kita.
magplano ng gastos at ani sa simula pa lang para alam kung kikita o hindi.
iwasan ang over-reliance sa trader at humanap ng alternatibong buyer. Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['makakaiwas', 'pagkalugi', 'pagbenta', 'palay']"
Puwede bang pagsabayin ang palay at ibang pananim sa iisang lupa?,"Isang mabisang paraan ay ang oo, puwedeng pagsabayin ang palay sa ibang pananim, lalo na kung tapos na ang taniman ng palay. halimbawa:
pagkatapos mag-ani, maaaring magtanim ng munggo, mais, o gulay.
sa palay na hindi lubog sa tubig, puwedeng taniman ng gulay sa pagitan (intercropping).
mahalaga lang na ang pananim ay hindi magkakasakit o magkaka-agawan ng sustansya.
nakakatulong ito sa pagpapayaman ng lupa at dagdag kita sa magsasaka Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['puwede', 'bang', 'pagsabayin', 'palay', 'ibang', 'pananim', 'iisang', 'lupa']"
Ano ang mga seminar o libreng training na inaalok ng DA para sa palay?,"Kung maaari, rice production training â€“ tamang pagtatanim, irigasyon, at ani.
farm mechanization training â€“ paggamit ng makina sa taniman.
organic rice farming â€“ paggawa at paggamit ng organic fertilizer.
integrated pest management (ipm) â€“ natural na pag-kontrol ng peste.
financial literacy at kooperatiba training para sa dagdag kita.
makipag-ugnayan sa inyong municipal agriculture office o da regional office para sa schedule. Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['seminar', 'libreng', 'training', 'inaalok', 'da', 'palay']"
Ano ang proseso ng pag-post harvest ng palay?,"Isang mabisang paraan ay ang pag-aani â€“ gamit ang kamay o combine harvester.
pagbibilad o pagpapatuyo â€“ sa tamang moisture (14%).
paglilinis ng dayami at dumi â€“ para mas malinis ang butil.
pag-iimbak â€“ sa tuyong lalagyan o sako.
pagbebenta o paggiling â€“ depende kung ibebenta bilang palay o bigas.
 Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['proseso', 'pagpost', 'harvest', 'palay']"
saan dapat itago ang binhi para hindi masira?,"Huwag kalimutang ilagay sa malamig, tuyo, at madilim na lugar.
gumamit ng airtight na lalagyan o sako na may label ng variety at petsa.
iwasang ma-expose sa damp o basang lugar upang hindi tumubo o mabulok.
iwasan ang init at direktang sikat ng araw. Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['itago', 'binhi', 'masira']"
Paano malaman kung mayroong nutrient deficiency ang palay?,"Tandaan na dilaw o maputlang dahon â€“ kakulangan sa nitrogen.
lila o mapulang kulay â€“ kulang sa phosphorus.
bilog na dilaw sa gilid ng dahon â€“ kulang sa potassium.
pagbagsak ng bunga o bunga na kulang sa laman â€“ maaaring senyales ng kakulangan sa micronutrients.
maaring magpasuri ng lupa para sa tamang diagnosis. Kung gusto mong mas makasiguro, sumangguni rin sa technician o extension worker kung may alinlangan.","['malaman', 'mayroong', 'nutrient', 'deficiency', 'palay']"
Anong mga hakbang ang dapat gawin bago magtanim ng palay sa bagong bukirin?,"Huwag kalimutang suriin ang lupa â€“ alamin ang ph at klase nito.
linis-bukid â€“ tanggalin ang damo at mga sagabal.
mag-araro o harrow â€“ ayusin ang lupa para madaling tubuan.
patubig â€“ ayusin kung paano papasok at lalabas ang tubig.
maghanda ng binhi â€“ siguraduhing dekalidad.
gumamit ng compost kung available. Kung maaari, sumangguni rin sa technician o extension worker kung may alinlangan.","['anong', 'hakbang', 'gawin', 'magtanim', 'palay', 'bagong', 'bukirin']"
Paano tiyakin na may sapat na irigasyon sa palayan?,"Mas mainam kung gumamit ng irrigation canals o alternate wetting and drying (awd).
i-check kung pantay ang distribusyon ng tubig sa palayan.
gumamit ng gate o control structures para sa tubig.
magtipid sa tubig sa pamamagitan ng tamang iskedyul ng patubig. Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['tiyakin', 'sapat', 'irigasyon', 'palayan']"
Ano ang mga simpleng paraan para gawing organikong palayan?,"Karaniwang ginagawa ng mga magsasaka ang gumamit ng compost at vermicast mula sa mga dayami o kitchen waste.
gamitin ang biofertilizer gaya ng azolla o rhizobium.
gumawa ng fermented plant juice (fpj) o calcium-based spray.
huwag gumamit ng kemikal â€“ panatilihing natural ang pataba at pantaboy-peste.
mag-apply sa da para sa organic farming training o sertipikasyon. Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['simpleng', 'gawing', 'organikong', 'palayan']"
Puwede bang magtanim ng palay sa tag-ulan?,"Mas mainam kung oo. sa katunayan, maraming magsasaka ang nagtatanim ng palay sa wet season o tag-ulan (hunyoâ€“oktubre).
gumamit ng variety na matibay sa ulan at baha.
siguraduhing may maayos na drainage ang bukid para hindi ma-lubog sa baha.
maging handa sa bagyo at pagtaas ng tubig sa panahon ng tag-ulan.
 Kung gusto mong mas makasiguro, sumangguni rin sa technician o extension worker kung may alinlangan.","['puwede', 'bang', 'magtanim', 'palay', 'tagulan']"
Ano ang mga warning signs na may sakit na ang palay?,"Kung gusto mong mas makasiguro, pagdilaw ng dahon o pagkatuyo.
butas-butas o may batik sa dahon.
hindi pantay ang tubo o may tumamlay.
maliit o walang laman ang butil ng palay.
may amag, uod, o insekto sa ilalim ng halaman.
kapag nakita ito, agad kumonsulta sa technician o local agriculturist para sa tamang aksyon.
 Para mas maging epektibo, sumangguni rin sa technician o extension worker kung may alinlangan.","['warning', 'signs', 'sakit', 'palay']"
